,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
42,frozenset({'350m'}),frozenset({'2.3i'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
43,frozenset({'210m'}),frozenset({'210o'}),0.06060606060606061,0.15151515151515152,0.06060606060606061,1.0,6.6,0.05142332415059688,inf
44,frozenset({'220m'}),frozenset({'210o'}),0.06060606060606061,0.15151515151515152,0.06060606060606061,1.0,6.6,0.05142332415059688,inf
45,frozenset({'220o'}),frozenset({'230m'}),0.06060606060606061,0.12121212121212122,0.06060606060606061,1.0,8.25,0.05325987144168962,inf
46,frozenset({'60o'}),frozenset({'230m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
47,frozenset({'240o'}),frozenset({'240m'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
48,frozenset({'240m'}),frozenset({'240o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
49,frozenset({'260m'}),frozenset({'250o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
50,frozenset({'250o'}),frozenset({'260m'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
51,frozenset({'270m'}),frozenset({'260o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
52,frozenset({'260o'}),frozenset({'270m'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
53,frozenset({'310o'}),frozenset({'350m'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
54,frozenset({'350m'}),frozenset({'310o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
55,"frozenset({'0.9i', '240o'})",frozenset({'240m'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
56,"frozenset({'0.9i', '240m'})",frozenset({'240o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
57,"frozenset({'240o', '240m'})",frozenset({'0.9i'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
58,frozenset({'0.9i'}),"frozenset({'240o', '240m'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
59,frozenset({'240o'}),"frozenset({'0.9i', '240m'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
60,frozenset({'240m'}),"frozenset({'0.9i', '240o'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
61,"frozenset({'150o', '1.0i'})",frozenset({'180m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
62,"frozenset({'150o', '180m'})",frozenset({'1.0i'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
63,"frozenset({'1.0i', '180m'})",frozenset({'150o'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
64,frozenset({'1.0i'}),"frozenset({'150o', '180m'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
65,"frozenset({'1.2i', '130m'})",frozenset({'110o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
66,"frozenset({'110o', '130m'})",frozenset({'1.2i'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
67,"frozenset({'1.2i', '110o'})",frozenset({'130m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
68,frozenset({'110o'}),"frozenset({'1.2i', '130m'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
69,"frozenset({'140o', '1.2i'})",frozenset({'160m'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
70,"frozenset({'140o', '160m'})",frozenset({'1.2i'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
71,"frozenset({'1.2i', '160m'})",frozenset({'140o'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
72,"frozenset({'210o', '1.3i'})",frozenset({'230m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
73,"frozenset({'230m', '1.3i'})",frozenset({'210o'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
74,"frozenset({'210o', '230m'})",frozenset({'1.3i'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
75,frozenset({'1.3i'}),"frozenset({'210o', '230m'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
76,"frozenset({'100o', '140m'})",frozenset({'1.4i'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
77,"frozenset({'100o', '1.4i'})",frozenset({'140m'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
78,"frozenset({'140m', '1.4i'})",frozenset({'100o'}),0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
79,frozenset({'100o'}),"frozenset({'140m', '1.4i'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
80,frozenset({'1.4i'}),"frozenset({'100o', '140m'})",0.030303030303030304,0.030303030303030304,0.030303030303030304,1.0,33.0,0.02938475665748393,inf
81,"frozenset({'120m', '120o'})",frozenset({'1.5i'}),0.030303030303030304,0.24242424242424243,0.030303030303030304,1.0,4.125,0.02295684113865932,inf
82,"frozenset({'120m', '1.5i'})",frozenset({'120o'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
83,frozenset({'120m'}),"frozenset({'120o', '1.5i'})",0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
84,"frozenset({'120o', '130m'})",frozenset({'1.5i'}),0.030303030303030304,0.24242424242424243,0.030303030303030304,1.0,4.125,0.02295684113865932,inf
85,"frozenset({'90o', '1.5i'})",frozenset({'130m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
86,"frozenset({'90o', '130m'})",frozenset({'1.5i'}),0.030303030303030304,0.24242424242424243,0.030303030303030304,1.0,4.125,0.02295684113865932,inf
87,frozenset({'90o'}),"frozenset({'1.5i', '130m'})",0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
88,"frozenset({'1.5i', '180o'})",frozenset({'200m'}),0.030303030303030304,0.15151515151515152,0.030303030303030304,1.0,6.6,0.02571166207529844,inf
89,"frozenset({'190o', '1.5i'})",frozenset({'200m'}),0.06060606060606061,0.15151515151515152,0.06060606060606061,1.0,6.6,0.05142332415059688,inf
90,"frozenset({'220o', '1.5i'})",frozenset({'230m'}),0.030303030303030304,0.12121212121212122,0.030303030303030304,1.0,8.25,0.02662993572084481,inf
91,"frozenset({'1.5i', '230m'})",frozenset({'220o'}),0.030303030303030304,0.06060606060606061,0.030303030303030304,1.0,16.5,0.02846648301193756,inf
